country_code,gdp_per_capita
AFE,1615.39635562849
AFW,1411.33702938476
ARB,7583.81170078144
CSS,19903.8112311908
CEB,24604.8068595604
EAR,4450.18711937385
EAS,13405.735673015
EAP,10396.7957405051
TEA,10513.9529323033
EMU,46945.4188234427
ECS,31555.5207890657
ECA,9793.69205809432
TEC,13337.4386956337
EUU,43304.9642561331
FCS,1527.95809514037
HPC,1216.37508472564
IBD,8219.91265703844
IBT,6327.1439970487
IDB,1650.63788113049
IDX,1398.11181264033
IDA,1485.92227405633
LTE,12874.1679137972
LCN,10737.6463538652
LAC,10382.3911125152
TLA,10474.2809944408
LDC,1293.40100322932
LMY,6002.45120765259
MEA,6265.44445247452
MNA,2971.05462651558
TMN,2973.77496155262
MIC,6554.37054933497
NAC,81275.8436781762
OED,48322.1644204871
OSS,16094.1266173126
PSS,4453.58561280276
PST,55644.314789934
PRE,1366.06577255622
SST,15383.3425638674
SAS,2690.07883749003
TSA,2690.07883749003
SSF,1532.92763550207
SSA,1576.69166875191
TSS,1532.92763550207
WLD,13631.2043097215
ALB,11377.7757431099
DZA,5752.99076651465
AND,49303.6491674336
AGO,2665.87444776753
ATG,23542.4526945578
ARG,13969.7836603737
ARM,8556.21406956719
ABW,39498.5941293797
AUS,64603.9856308464
AUT,58268.8787651601
AZE,7283.8499076179
BHS,39455.4466548546
BHR,29653.5682731534
BGD,2593.41611680774
BRB,26544.8707282621
BLR,8317.63399913792
BEL,56614.5679499036
BLZ,7681.24400583113
BEN,1485.38018885134
BMU,142855.374713782
BOL,4421.16609889999
BIH,9358.78768951134
BWA,7695.75319445165
BRA,10310.5488778166
BRN,33153.4738913513
BGR,17596.0173663521
BFA,981.992649769081
BDI,219.424830882698
CPV,5192.48157325878
KHM,2627.87969756224
CMR,1830.00833684727
CAN,54340.3477224733
CAF,516.160999996036
TCD,961.55975562506
CHL,16709.8893972307
CHN,13303.1481543868
COL,7919.20886825345
COM,1662.75663312504
COD,649.383338556725
COG,2482.2489948456
CRI,18587.1532203482
CIV,2727.8935220697
HRV,24050.4397933135
CUW,22832.8953958667
CYP,38674.29296875
CZE,31823.3078290564
DNK,71026.4832271897
DJI,3552.72335079222
DMA,10405.2787777582
DOM,10875.6618443092
ECU,6874.705739766
EGY,3338.47371395895
SLV,5579.65969165029
GNQ,6745.40013244916
EST,31428.3547816104
SWZ,3909.55892378182
ETH,1133.88279681719
FRO,74119.6607553879
FJI,6425.74151715712
FIN,53149.7671934051
FRA,46103.0840855884
PYF,22439.8838746025
GAB,8230.04311451151
GMB,871.340291776294
GEO,9241.49122313713
DEU,56103.7323182554
GHA,2390.77237652715
GRC,24626.1481858973
GRD,11705.0902976658
GTM,6150.02571438505
GIN,1694.95375862193
GNB,1007.74151728028
GUY,29675.2443873316
HTI,2142.62330526788
HND,3426.43483328923
HKG,54074.6928519479
HUN,23292.3263882478
ISL,86040.5309851288
IND,2694.73780859961
IDN,4925.43048751861
IRN,5190.16959024821
IRQ,6073.61032342708
IRL,112894.953240805
ISR,54176.6844383302
ITA,40385.3413957669
JAM,7753.8006955432
JPN,32487.0778047567
JOR,4618.09592498567
KAZ,14154.6324958076
KEN,2132.43452097647
KIR,2288.63471423684
KOR,36238.639908315
XKX,7023.06598512878
KWT,32717.7186631255
KGZ,2420.18542283831
LAO,2123.97909415109
LVA,23409.0845154775
LSO,971.90771824829
LBR,851.497723870206
LBY,6569.16408678648
LTU,29384.0189598663
LUX,137781.681659123
MAC,72004.7437020733
MDG,544.987501003384
MWI,522.570393642547
MYS,11874.4273684245
MDV,13379.3513577224
MLI,1094.61949265799
MLT,43898.5781808597
MHL,7726.33668877794
MRT,2110.12036938187
MUS,11990.7798944837
MEX,14185.7812248529
FSM,4166.00476748564
MDA,7576.19589413326
MCO,288001.433369041
MNG,6750.6301157724
MNE,13263.3281277699
MAR,4153.1943359375
MOZ,656.776824637306
MMR,1359.05001560107
NAM,4413.12752211572
NRU,13609.158837552
NPL,1447.31004458428
NLD,67520.4218956281
NCL,29213.1923192946
NZL,49205.1792146792
NIC,2847.53966339498
NER,735.270255787226
NGA,1084.16041805436
MKD,9291.85661671864
NOR,86785.4334489176
OMN,20285.2272897377
PAK,1478.77277977996
PAN,19161.2188501596
PNG,3006.70564478923
PRY,6416.09708970845
PER,8452.37167056621
PHL,3984.8315387656
POL,25103.565661423
PRT,29292.242104753
PRI,39343.7154660139
QAT,76688.6941743178
ROU,20080.2096215595
RUS,14889.0185546875
RWA,999.65456165547
WSM,5392.87761915762
STP,3490.56883486557
SAU,35121.6628687742
SEN,1773.21829923448
SRB,13679.2065983557
SYC,17858.8226383978
SLE,806.654650417726
SGP,90674.066632628
SXM,41472.5874498583
SVK,25992.6748502048
SVN,34301.0318686594
SLB,1933.55538435227
SOM,629.538899449007
ZAF,6267.186814093
ESP,35326.7683069278
LKA,4515.56787322732
KNA,23960.6534357084
LCA,14181.6303351598
VCT,11501.2265187188
SDN,984.607666015625
SUR,6961.78955961526
SWE,57117.4877440616
CHE,103998.186685604
TJK,1341.20229027672
TZA,1186.71691894531
THA,7346.62022142185
TLS,1331.9705130185
TGO,1119.38160509429
TTO,18733.4110406494
TUN,4181.13789301228
TUR,15892.7157287241
TKM,6856.65802730208
TCA,37506.7798431288
UGA,1077.91278452817
UKR,5389.47314453125
ARE,50273.5060469837
GBR,53246.3676145108
USA,84534.0407841548
URY,23906.5133029408
UZB,3161.70010632875
VUT,3410.77023167097
VEN,4217.59102643391
VNM,4717.29028732449
PSE,2592.30591217647
ZMB,1187.10943350064
ZWE,2497.20332208763
